university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
ucatolica_chile,433450406,MEQChile,1611,893,203,Sat Dec 10 15:47:38 +0000 2011
ucatolica_chile,86056261,Carito_Ceo,897,280,150,Thu Oct 29 12:36:35 +0000 2009
ucatolica_chile,1.1248998934773E+018,Elcriti98120644,357,232,4,Sun May 05 04:53:29 +0000 2019
ucatolica_chile,1664517787,MayaoelT,1,20,5,Mon Aug 12 08:05:27 +0000 2013
ucatolica_chile,367123744,anitapdea,53,160,21,Sat Sep 03 12:30:00 +0000 2011
ucatolica_chile,8.66699393449198E+017,PreacherKickAss,16,1480,37,Mon May 22 16:56:52 +0000 2017
ucatolica_chile,1.19109339519803E+018,92Jmanue,0,575,7,Sun Nov 03 20:42:58 +0000 2019
ucatolica_chile,186590007,antoniabrowner,485,863,490,Fri Sep 03 21:32:50 +0000 2010
ucatolica_chile,302290768,CaritoSTR,4061,3494,2542,Fri May 20 23:00:45 +0000 2011
ucatolica_chile,1.19044220007479E+018,chengdu_sol,0,58,0,Sat Nov 02 01:35:16 +0000 2019
ucatolica_chile,448495521,cristimoyas,136,540,42,Wed Dec 28 02:18:46 +0000 2011
ucatolica_chile,8.10389943830938E+017,kikindemain,26,100,2,Sun Dec 18 07:43:13 +0000 2016
ucatolica_chile,99935017,PABLETE2010,9821,1770,169,Mon Dec 28 12:16:31 +0000 2009
ucatolica_chile,322400401,Tamure30,10906,3057,508,Thu Jun 23 03:29:28 +0000 2011
ucatolica_chile,1.18953220694077E+018,BristolSabores,158,582,18,Wed Oct 30 13:19:19 +0000 2019
ucatolica_chile,1.18832937505966E+018,JRJames47859628,0,13,1,Sun Oct 27 05:39:54 +0000 2019
ucatolica_chile,65804534,valdiviesojorge,11075,2795,1970,Sat Aug 15 02:40:45 +0000 2009
ucatolica_chile,1.18967359327952E+018,MaraElisaPea1,1,39,2,Wed Oct 30 22:41:21 +0000 2019
ucatolica_chile,1.16096944555837E+018,crvivanco_,228,101,2,Mon Aug 12 17:41:00 +0000 2019
ucatolica_chile,1.1857877019766E+018,AndreawRifo,328,575,6,Sun Oct 20 05:20:07 +0000 2019
ucatolica_chile,7.87296520651567E+017,cuervodiazdiana,2235,1350,564,Sat Oct 15 14:18:12 +0000 2016
ucatolica_chile,1.14081579881199E+018,msDonnaJo,843,462,77,Tue Jun 18 02:57:36 +0000 2019
ucatolica_chile,47507087,PacitaSilva,50,236,46,Tue Jun 16 01:41:07 +0000 2009
ucatolica_chile,8.77989825344934E+017,mnicohomo,480,1137,230,Thu Jun 22 20:41:01 +0000 2017
ucatolica_chile,349214084,pedrini62,1,124,3,Fri Aug 05 19:03:08 +0000 2011
ucatolica_chile,726153079,Valitojacome,1657,1580,415,Mon Jul 30 14:18:02 +0000 2012
ucatolica_chile,152020346,pablod_l,755,2383,297,Fri Jun 04 21:39:25 +0000 2010
ucatolica_chile,1.18934603576578E+018,Marcela44908072,6,92,5,Wed Oct 30 00:59:36 +0000 2019
ucatolica_chile,8.98286541780517E+017,El_Tannox,186,1045,0,Thu Aug 17 20:52:55 +0000 2017
ucatolica_chile,1.07194316047613E+018,Francis18940281,20,65,7,Mon Dec 10 01:42:19 +0000 2018
ucatolica_chile,1.18933083805756E+018,JeremyS63739488,0,107,3,Tue Oct 29 23:59:20 +0000 2019
ucatolica_chile,1.1853952857045E+018,UlisesMena93,16,398,4,Sat Oct 19 03:22:08 +0000 2019
ucatolica_chile,144392074,xph4ntom,37,413,38,Sun May 16 04:49:39 +0000 2010
ucatolica_chile,1.18781479706634E+018,CamilaV99114157,80,81,4,Fri Oct 25 19:35:08 +0000 2019
ucatolica_chile,1.09576790104132E+018,HctorAbdal1,88,50,1,Wed Feb 13 19:33:20 +0000 2019
ucatolica_chile,617748288,Krit0_74,16539,629,629,Mon Jun 25 01:55:26 +0000 2012
ucatolica_chile,1.1889473360908E+018,Jesabel12236889,1,66,2,Mon Oct 28 22:35:25 +0000 2019
ucatolica_chile,8.84974208694055E+017,OssCata,14,73,3,Wed Jul 12 03:14:28 +0000 2017
ucatolica_chile,43003587,chekids,1722,519,301,Thu May 28 00:19:11 +0000 2009
ucatolica_chile,2220708487,geneandrea7,444,321,62,Fri Nov 29 02:57:11 +0000 2013
ucatolica_chile,315904431,MarciaCopier,97,100,64,Sun Jun 12 16:46:31 +0000 2011
ucatolica_chile,3084311842,anillosnde,1214,525,529,Tue Mar 10 15:59:03 +0000 2015
ucatolica_chile,144676949,PERFIL1966,79,9,19,Mon May 17 01:03:28 +0000 2010
ucatolica_chile,37894416,macgarciag,465,689,386,Tue May 05 09:59:40 +0000 2009
ucatolica_chile,66724770,javierareyes,270,294,152,Tue Aug 18 16:30:02 +0000 2009
ucatolica_chile,1.18825106450145E+018,therealisthh,17,190,3,Sun Oct 27 00:28:51 +0000 2019
ucatolica_chile,1.14915128710527E+018,corinnebulger,79,274,69,Thu Jul 11 02:59:51 +0000 2019
ucatolica_chile,1.18645802407401E+018,ManuelTironi,303,348,294,Tue Oct 22 01:43:51 +0000 2019
ucatolica_chile,3081297146,joaquinhoffmann,1,13,1,Sat Mar 14 15:20:21 +0000 2015
ucatolica_chile,1.18540965856096E+018,Alejand45044084,0,3,0,Sat Oct 19 04:18:27 +0000 2019
ucatolica_chile,455906028,JOSEMIRANDA72,198,245,13,Thu Jan 05 17:09:37 +0000 2012
ucatolica_chile,2340280143,FionaClouder,9688,2672,3505,Thu Feb 13 00:09:35 +0000 2014
ucatolica_chile,81897632,nico_padi,23,95,30,Mon Oct 12 18:24:59 +0000 2009
ucatolica_chile,100771122,nesggrosemberg,1179,849,180,Thu Dec 31 13:54:02 +0000 2009
ucatolica_chile,1.18772829026772E+018,MelissaConcha2,3,584,3,Fri Oct 25 13:51:20 +0000 2019
ucatolica_chile,1.18744639472818E+018,ScarlethCid1,26,158,5,Thu Oct 24 19:11:09 +0000 2019
ucatolica_chile,1.18753996811949E+018,GanglerMaass,5,63,0,Fri Oct 25 01:22:57 +0000 2019
ucatolica_chile,1.18752624087134E+018,crispity78gmai1,2,69,1,Fri Oct 25 00:28:25 +0000 2019
ucatolica_chile,1.18698856872568E+018,IgnacioCruzPal1,9,95,9,Wed Oct 23 12:52:19 +0000 2019
ucatolica_chile,1.18701135345586E+018,AMorvely,5,61,10,Wed Oct 23 14:22:49 +0000 2019
ucatolica_chile,1.18736755554512E+018,AlrojovivoC,557,752,82,Thu Oct 24 13:57:54 +0000 2019
ucatolica_chile,7.48679221866664E+017,alex_baezr,1128,1290,288,Fri Jul 01 00:46:51 +0000 2016
ucatolica_chile,85145137,RonanShaughs,117,1585,310,Sun Oct 25 19:17:26 +0000 2009
ucatolica_chile,2680050019,Maritzasen,46813,4969,2141,Fri Jul 25 16:59:22 +0000 2014
